date,product,sales,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14
2018-09-21,Accessories,404,6.0,2.0,241.0,98.0,180.0,202.0,95.0,1.0,2102.0,876.0,568.0,3.0,1.0,396.0
2018-09-21,Cosmetic,4,404.0,6.0,2.0,241.0,98.0,180.0,202.0,95.0,1.0,2102.0,876.0,568.0,3.0,1.0
2018-09-21,Garment Full body,545,4.0,404.0,6.0,2.0,241.0,98.0,180.0,202.0,95.0,1.0,2102.0,876.0,568.0,3.0
2018-09-21,Garment Lower body,895,545.0,4.0,404.0,6.0,2.0,241.0,98.0,180.0,202.0,95.0,1.0,2102.0,876.0,568.0
2018-09-21,Garment Upper body,2184,895.0,545.0,4.0,404.0,6.0,2.0,241.0,98.0,180.0,202.0,95.0,1.0,2102.0,876.0
2018-09-21,Items,1,2184.0,895.0,545.0,4.0,404.0,6.0,2.0,241.0,98.0,180.0,202.0,95.0,1.0,2102.0
2018-09-21,Nightwear,79,1.0,2184.0,895.0,545.0,4.0,404.0,6.0,2.0,241.0,98.0,180.0,202.0,95.0,1.0
2018-09-21,Shoes,188,79.0,1.0,2184.0,895.0,545.0,4.0,404.0,6.0,2.0,241.0,98.0,180.0,202.0,95.0
2018-09-21,Socks & Tights,190,188.0,79.0,1.0,2184.0,895.0,545.0,4.0,404.0,6.0,2.0,241.0,98.0,180.0,202.0
2018-09-21,Swimwear,98,190.0,188.0,79.0,1.0,2184.0,895.0,545.0,4.0,404.0,6.0,2.0,241.0,98.0,180.0
2018-09-21,Underwear,242,98.0,190.0,188.0,79.0,1.0,2184.0,895.0,545.0,4.0,404.0,6.0,2.0,241.0,98.0
2018-09-21,Underwear/nightwear,4,242.0,98.0,190.0,188.0,79.0,1.0,2184.0,895.0,545.0,4.0,404.0,6.0,2.0,241.0
2018-09-21,Unknown,5,4.0,242.0,98.0,190.0,188.0,79.0,1.0,2184.0,895.0,545.0,4.0,404.0,6.0,2.0
2018-09-22,Accessories,242,5.0,4.0,242.0,98.0,190.0,188.0,79.0,1.0,2184.0,895.0,545.0,4.0,404.0,6.0
2018-09-22,Cosmetic,5,242.0,5.0,4.0,242.0,98.0,190.0,188.0,79.0,1.0,2184.0,895.0,545.0,4.0,404.0
2018-09-22,Garment Full body,319,5.0,242.0,5.0,4.0,242.0,98.0,190.0,188.0,79.0,1.0,2184.0,895.0,545.0,4.0
2018-09-22,Garment Lower body,567,319.0,5.0,242.0,5.0,4.0,242.0,98.0,190.0,188.0,79.0,1.0,2184.0,895.0,545.0
2018-09-22,Garment Upper body,1477,567.0,319.0,5.0,242.0,5.0,4.0,242.0,98.0,190.0,188.0,79.0,1.0,2184.0,895.0
2018-09-22,Items,1,1477.0,567.0,319.0,5.0,242.0,5.0,4.0,242.0,98.0,190.0,188.0,79.0,1.0,2184.0
2018-09-22,Nightwear,66,1.0,1477.0,567.0,319.0,5.0,242.0,5.0,4.0,242.0,98.0,190.0,188.0,79.0,1.0
2018-09-22,Shoes,110,66.0,1.0,1477.0,567.0,319.0,5.0,242.0,5.0,4.0,242.0,98.0,190.0,188.0,79.0
2018-09-22,Socks & Tights,126,110.0,66.0,1.0,1477.0,567.0,319.0,5.0,242.0,5.0,4.0,242.0,98.0,190.0,188.0
2018-09-22,Swimwear,46,126.0,110.0,66.0,1.0,1477.0,567.0,319.0,5.0,242.0,5.0,4.0,242.0,98.0,190.0
2018-09-22,Underwear,156,46.0,126.0,110.0,66.0,1.0,1477.0,567.0,319.0,5.0,242.0,5.0,4.0,242.0,98.0
2018-09-22,Underwear/nightwear,1,156.0,46.0,126.0,110.0,66.0,1.0,1477.0,567.0,319.0,5.0,242.0,5.0,4.0,242.0
2018-09-22,Unknown,4,1.0,156.0,46.0,126.0,110.0,66.0,1.0,1477.0,567.0,319.0,5.0,242.0,5.0,4.0
2018-09-23,Accessories,398,4.0,1.0,156.0,46.0,126.0,110.0,66.0,1.0,1477.0,567.0,319.0,5.0,242.0,5.0
2018-09-23,Cosmetic,2,398.0,4.0,1.0,156.0,46.0,126.0,110.0,66.0,1.0,1477.0,567.0,319.0,5.0,242.0
2018-09-23,Garment Full body,527,2.0,398.0,4.0,1.0,156.0,46.0,126.0,110.0,66.0,1.0,1477.0,567.0,319.0,5.0
2018-09-23,Garment Lower body,917,527.0,2.0,398.0,4.0,1.0,156.0,46.0,126.0,110.0,66.0,1.0,1477.0,567.0,319.0
2018-09-23,Garment Upper body,2221,917.0,527.0,2.0,398.0,4.0,1.0,156.0,46.0,126.0,110.0,66.0,1.0,1477.0,567.0
2018-09-23,Items,1,2221.0,917.0,527.0,2.0,398.0,4.0,1.0,156.0,46.0,126.0,110.0,66.0,1.0,1477.0
2018-09-23,Nightwear,95,1.0,2221.0,917.0,527.0,2.0,398.0,4.0,1.0,156.0,46.0,126.0,110.0,66.0,1.0
2018-09-23,Shoes,199,95.0,1.0,2221.0,917.0,527.0,2.0,398.0,4.0,1.0,156.0,46.0,126.0,110.0,66.0
2018-09-23,Socks & Tights,186,199.0,95.0,1.0,2221.0,917.0,527.0,2.0,398.0,4.0,1.0,156.0,46.0,126.0,110.0
2018-09-23,Swimwear,103,186.0,199.0,95.0,1.0,2221.0,917.0,527.0,2.0,398.0,4.0,1.0,156.0,46.0,126.0
2018-09-23,Underwear,251,103.0,186.0,199.0,95.0,1.0,2221.0,917.0,527.0,2.0,398.0,4.0,1.0,156.0,46.0
2018-09-23,Underwear/nightwear,3,251.0,103.0,186.0,199.0,95.0,1.0,2221.0,917.0,527.0,2.0,398.0,4.0,1.0,156.0
2018-09-23,Unknown,6,3.0,251.0,103.0,186.0,199.0,95.0,1.0,2221.0,917.0,527.0,2.0,398.0,4.0,1.0
2018-09-24,Accessories,384,6.0,3.0,251.0,103.0,186.0,199.0,95.0,1.0,2221.0,917.0,527.0,2.0,398.0,4.0
2018-09-24,Cosmetic,2,384.0,6.0,3.0,251.0,103.0,186.0,199.0,95.0,1.0,2221.0,917.0,527.0,2.0,398.0
2018-09-24,Garment Full body,554,2.0,384.0,6.0,3.0,251.0,103.0,186.0,199.0,95.0,1.0,2221.0,917.0,527.0,2.0
2018-09-24,Garment Lower body,911,554.0,2.0,384.0,6.0,3.0,251.0,103.0,186.0,199.0,95.0,1.0,2221.0,917.0,527.0
2018-09-24,Garment Upper body,2173,911.0,554.0,2.0,384.0,6.0,3.0,251.0,103.0,186.0,199.0,95.0,1.0,2221.0,917.0
2018-09-24,Items,1,2173.0,911.0,554.0,2.0,384.0,6.0,3.0,251.0,103.0,186.0,199.0,95.0,1.0,2221.0
2018-09-24,Nightwear,94,1.0,2173.0,911.0,554.0,2.0,384.0,6.0,3.0,251.0,103.0,186.0,199.0,95.0,1.0
2018-09-24,Shoes,211,94.0,1.0,2173.0,911.0,554.0,2.0,384.0,6.0,3.0,251.0,103.0,186.0,199.0,95.0
2018-09-24,Socks & Tights,177,211.0,94.0,1.0,2173.0,911.0,554.0,2.0,384.0,6.0,3.0,251.0,103.0,186.0,199.0
2018-09-24,Swimwear,91,177.0,211.0,94.0,1.0,2173.0,911.0,554.0,2.0,384.0,6.0,3.0,251.0,103.0,186.0
2018-09-24,Underwear,250,91.0,177.0,211.0,94.0,1.0,2173.0,911.0,554.0,2.0,384.0,6.0,3.0,251.0,103.0
2018-09-24,Underwear/nightwear,1,250.0,91.0,177.0,211.0,94.0,1.0,2173.0,911.0,554.0,2.0,384.0,6.0,3.0,251.0
2018-09-24,Unknown,5,1.0,250.0,91.0,177.0,211.0,94.0,1.0,2173.0,911.0,554.0,2.0,384.0,6.0,3.0
2018-09-25,Accessories,386,5.0,1.0,250.0,91.0,177.0,211.0,94.0,1.0,2173.0,911.0,554.0,2.0,384.0,6.0
2018-09-25,Cosmetic,4,386.0,5.0,1.0,250.0,91.0,177.0,211.0,94.0,1.0,2173.0,911.0,554.0,2.0,384.0
2018-09-25,Garment Full body,537,4.0,386.0,5.0,1.0,250.0,91.0,177.0,211.0,94.0,1.0,2173.0,911.0,554.0,2.0
2018-09-25,Garment Lower body,905,537.0,4.0,386.0,5.0,1.0,250.0,91.0,177.0,211.0,94.0,1.0,2173.0,911.0,554.0
